"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar producto carrito de compras","Agregar producto al carrito de compras","SUCCESS","2022-03-09T21:35:05.944-05:00[America/Bogota]","0.0","49.26"
"Registrarse en la app dafiti","Registro Dafiti","SUCCESS","2022-03-08T23:43:16.034-05:00[America/Bogota]","0.0","80.5"
